key	shape	dtype	rank	lora_side	lora_base	layer_index	projection	prefix_kind	expert_kind	expert_index	mamba_kind
base_model.model.backbone.layers.1.mixer.experts.106.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.106.up_proj	1	up_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.106.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.106.up_proj	1	up_proj	backbone	per_expert	106	
base_model.model.backbone.layers.1.mixer.experts.107.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.107.down_proj	1	down_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.107.down_proj	1	down_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.107.up_proj	1	up_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.107.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.107.up_proj	1	up_proj	backbone	per_expert	107	
base_model.model.backbone.layers.1.mixer.experts.108.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.108.down_proj	1	down_proj	backbone	per_expert	108	
base_model.model.backbone.layers.1.mixer.experts.108.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.108.down_proj	1	down_proj	backbone	per_expert	108	
base_model.model.backbone.layers.1.mixer.experts.108.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.108.up_proj	1	up_proj	backbone	per_expert	108	
base_model.model.backbone.layers.1.mixer.experts.108.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.108.up_proj	1	up_proj	backbone	per_expert	108	
base_model.model.backbone.layers.1.mixer.experts.109.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.109.down_proj	1	down_proj	backbone	per_expert	109	
base_model.model.backbone.layers.1.mixer.experts.109.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.109.down_proj	1	down_proj	backbone	per_expert	109	
base_model.model.backbone.layers.1.mixer.experts.109.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.109.up_proj	1	up_proj	backbone	per_expert	109	
base_model.model.backbone.layers.1.mixer.experts.109.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.109.up_proj	1	up_proj	backbone	per_expert	109	
base_model.model.backbone.layers.1.mixer.experts.11.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.11.down_proj	1	down_proj	backbone	per_expert	11	
base_model.model.backbone.layers.1.mixer.experts.11.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.11.down_proj	1	down_proj	backbone	per_expert	11	
base_model.model.backbone.layers.1.mixer.experts.11.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.11.up_proj	1	up_proj	backbone	per_expert	11	
base_model.model.backbone.layers.1.mixer.experts.11.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.11.up_proj	1	up_proj	backbone	per_expert	11	
base_model.model.backbone.layers.1.mixer.experts.110.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.110.down_proj	1	down_proj	backbone	per_expert	110	
base_model.model.backbone.layers.1.mixer.experts.110.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.110.down_proj	1	down_proj	backbone	per_expert	110	
base_model.model.backbone.layers.1.mixer.experts.110.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.110.up_proj	1	up_proj	backbone	per_expert	110	
base_model.model.backbone.layers.1.mixer.experts.110.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.110.up_proj	1	up_proj	backbone	per_expert	110	
base_model.model.backbone.layers.1.mixer.experts.111.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.111.down_proj	1	down_proj	backbone	per_expert	111	
base_model.model.backbone.layers.1.mixer.experts.111.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.111.down_proj	1	down_proj	backbone	per_expert	111	
base_model.model.backbone.layers.1.mixer.experts.111.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.111.up_proj	1	up_proj	backbone	per_expert	111	
base_model.model.backbone.layers.1.mixer.experts.111.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.111.up_proj	1	up_proj	backbone	per_expert	111	
base_model.model.backbone.layers.1.mixer.experts.112.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.112.down_proj	1	down_proj	backbone	per_expert	112	
base_model.model.backbone.layers.1.mixer.experts.112.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.112.down_proj	1	down_proj	backbone	per_expert	112	
base_model.model.backbone.layers.1.mixer.experts.112.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.112.up_proj	1	up_proj	backbone	per_expert	112	
base_model.model.backbone.layers.1.mixer.experts.112.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.112.up_proj	1	up_proj	backbone	per_expert	112	
base_model.model.backbone.layers.1.mixer.experts.113.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.113.down_proj	1	down_proj	backbone	per_expert	113	
base_model.model.backbone.layers.1.mixer.experts.113.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.113.down_proj	1	down_proj	backbone	per_expert	113	
base_model.model.backbone.layers.1.mixer.experts.113.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.113.up_proj	1	up_proj	backbone	per_expert	113	
base_model.model.backbone.layers.1.mixer.experts.113.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.113.up_proj	1	up_proj	backbone	per_expert	113	
base_model.model.backbone.layers.1.mixer.experts.114.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.114.down_proj	1	down_proj	backbone	per_expert	114	
base_model.model.backbone.layers.1.mixer.experts.114.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.114.down_proj	1	down_proj	backbone	per_expert	114	
base_model.model.backbone.layers.1.mixer.experts.114.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.114.up_proj	1	up_proj	backbone	per_expert	114	
base_model.model.backbone.layers.1.mixer.experts.114.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.114.up_proj	1	up_proj	backbone	per_expert	114	
base_model.model.backbone.layers.1.mixer.experts.115.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.115.down_proj	1	down_proj	backbone	per_expert	115	
base_model.model.backbone.layers.1.mixer.experts.115.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.115.down_proj	1	down_proj	backbone	per_expert	115	
base_model.model.backbone.layers.1.mixer.experts.115.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.115.up_proj	1	up_proj	backbone	per_expert	115	
base_model.model.backbone.layers.1.mixer.experts.115.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.115.up_proj	1	up_proj	backbone	per_expert	115	
base_model.model.backbone.layers.1.mixer.experts.116.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.116.down_proj	1	down_proj	backbone	per_expert	116	
base_model.model.backbone.layers.1.mixer.experts.116.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.116.down_proj	1	down_proj	backbone	per_expert	116	
base_model.model.backbone.layers.1.mixer.experts.116.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.116.up_proj	1	up_proj	backbone	per_expert	116	
base_model.model.backbone.layers.1.mixer.experts.116.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.116.up_proj	1	up_proj	backbone	per_expert	116	
base_model.model.backbone.layers.1.mixer.experts.117.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.117.down_proj	1	down_proj	backbone	per_expert	117	
base_model.model.backbone.layers.1.mixer.experts.117.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.117.down_proj	1	down_proj	backbone	per_expert	117	
base_model.model.backbone.layers.1.mixer.experts.117.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.117.up_proj	1	up_proj	backbone	per_expert	117	
base_model.model.backbone.layers.1.mixer.experts.117.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.117.up_proj	1	up_proj	backbone	per_expert	117	
base_model.model.backbone.layers.1.mixer.experts.118.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.118.down_proj	1	down_proj	backbone	per_expert	118	
base_model.model.backbone.layers.1.mixer.experts.118.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.118.down_proj	1	down_proj	backbone	per_expert	118	
base_model.model.backbone.layers.1.mixer.experts.118.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.118.up_proj	1	up_proj	backbone	per_expert	118	
base_model.model.backbone.layers.1.mixer.experts.118.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.118.up_proj	1	up_proj	backbone	per_expert	118	
base_model.model.backbone.layers.1.mixer.experts.119.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.119.down_proj	1	down_proj	backbone	per_expert	119	
base_model.model.backbone.layers.1.mixer.experts.119.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.119.down_proj	1	down_proj	backbone	per_expert	119	
base_model.model.backbone.layers.1.mixer.experts.119.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.119.up_proj	1	up_proj	backbone	per_expert	119	
base_model.model.backbone.layers.1.mixer.experts.119.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.119.up_proj	1	up_proj	backbone	per_expert	119	
base_model.model.backbone.layers.1.mixer.experts.12.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.12.down_proj	1	down_proj	backbone	per_expert	12	
base_model.model.backbone.layers.1.mixer.experts.12.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.12.down_proj	1	down_proj	backbone	per_expert	12	
base_model.model.backbone.layers.1.mixer.experts.12.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.12.up_proj	1	up_proj	backbone	per_expert	12	
base_model.model.backbone.layers.1.mixer.experts.12.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.12.up_proj	1	up_proj	backbone	per_expert	12	
base_model.model.backbone.layers.1.mixer.experts.120.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.120.down_proj	1	down_proj	backbone	per_expert	120	
base_model.model.backbone.layers.1.mixer.experts.120.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.120.down_proj	1	down_proj	backbone	per_expert	120	
base_model.model.backbone.layers.1.mixer.experts.120.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.120.up_proj	1	up_proj	backbone	per_expert	120	
base_model.model.backbone.layers.1.mixer.experts.120.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.120.up_proj	1	up_proj	backbone	per_expert	120	
base_model.model.backbone.layers.1.mixer.experts.121.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.121.down_proj	1	down_proj	backbone	per_expert	121	
base_model.model.backbone.layers.1.mixer.experts.121.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.121.down_proj	1	down_proj	backbone	per_expert	121	
base_model.model.backbone.layers.1.mixer.experts.121.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.121.up_proj	1	up_proj	backbone	per_expert	121	
base_model.model.backbone.layers.1.mixer.experts.121.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.121.up_proj	1	up_proj	backbone	per_expert	121	
base_model.model.backbone.layers.1.mixer.experts.122.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.122.down_proj	1	down_proj	backbone	per_expert	122	
base_model.model.backbone.layers.1.mixer.experts.122.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.122.down_proj	1	down_proj	backbone	per_expert	122	
base_model.model.backbone.layers.1.mixer.experts.122.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.122.up_proj	1	up_proj	backbone	per_expert	122	
base_model.model.backbone.layers.1.mixer.experts.122.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.122.up_proj	1	up_proj	backbone	per_expert	122	
base_model.model.backbone.layers.1.mixer.experts.123.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.123.down_proj	1	down_proj	backbone	per_expert	123	
base_model.model.backbone.layers.1.mixer.experts.123.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.123.down_proj	1	down_proj	backbone	per_expert	123	
base_model.model.backbone.layers.1.mixer.experts.123.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.123.up_proj	1	up_proj	backbone	per_expert	123	
base_model.model.backbone.layers.1.mixer.experts.123.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.123.up_proj	1	up_proj	backbone	per_expert	123	
base_model.model.backbone.layers.1.mixer.experts.124.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.124.down_proj	1	down_proj	backbone	per_expert	124	
base_model.model.backbone.layers.1.mixer.experts.124.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.124.down_proj	1	down_proj	backbone	per_expert	124	
base_model.model.backbone.layers.1.mixer.experts.124.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.124.up_proj	1	up_proj	backbone	per_expert	124	
base_model.model.backbone.layers.1.mixer.experts.124.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.124.up_proj	1	up_proj	backbone	per_expert	124	
base_model.model.backbone.layers.1.mixer.experts.125.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.125.down_proj	1	down_proj	backbone	per_expert	125	
base_model.model.backbone.layers.1.mixer.experts.125.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.125.down_proj	1	down_proj	backbone	per_expert	125	
base_model.model.backbone.layers.1.mixer.experts.125.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.125.up_proj	1	up_proj	backbone	per_expert	125	
base_model.model.backbone.layers.1.mixer.experts.125.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.125.up_proj	1	up_proj	backbone	per_expert	125	
base_model.model.backbone.layers.1.mixer.experts.126.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.126.down_proj	1	down_proj	backbone	per_expert	126	
base_model.model.backbone.layers.1.mixer.experts.126.down_proj.lora_B.weight	2688x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.126.down_proj	1	down_proj	backbone	per_expert	126	
base_model.model.backbone.layers.1.mixer.experts.126.up_proj.lora_A.weight	32x2688	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.126.up_proj	1	up_proj	backbone	per_expert	126	
base_model.model.backbone.layers.1.mixer.experts.126.up_proj.lora_B.weight	1856x32	F32	32	B	base_model.model.backbone.layers.1.mixer.experts.126.up_proj	1	up_proj	backbone	per_expert	126	
base_model.model.backbone.layers.1.mixer.experts.127.down_proj.lora_A.weight	32x1856	F32	32	A	base_model.model.backbone.layers.1.mixer.experts.127.down_proj	1	down_proj	backbone	per_expert	127	
